ledger_id,merchant_id,amount,currency,transaction_date,reference,entry_type
L000392,M006,3269.5,INR,2026-08-21,,PAYMENT
L000394,M018,1427.31,INR,2026-08-23,,PAYMENT
L000393,M018,1427.31,INR,2026-08-24,,PAYMENT
L000395,M018,1427.31,INR,2026-08-25,,PAYMENT
L000397,M002,671.74,INR,2026-08-27,,PAYMENT
L000396,M002,671.74,INR,2026-08-28,,PAYMENT
L000398,M002,671.74,INR,2026-08-29,,PAYMENT
L000400,M010,7412.95,INR,2026-08-21,,PAYMENT
L000399,M010,7412.95,INR,2026-08-22,,PAYMENT
L000401,M010,7412.95,INR,2026-08-23,,PAYMENT
L000403,M016,1175.7,INR,2026-08-19,,PAYMENT
L000402,M016,1175.7,INR,2026-08-20,,PAYMENT
L000404,M016,1175.7,INR,2026-08-21,,PAYMENT
L000406,M019,3081.51,INR,2026-08-26,,PAYMENT
L000405,M019,3081.51,INR,2026-08-27,,PAYMENT
L000407,M019,3081.51,INR,2026-08-28,,PAYMENT
L000409,M016,4718.65,INR,2026-08-24,,PAYMENT
L000408,M016,4718.65,INR,2026-08-25,,PAYMENT
L000410,M016,4718.65,INR,2026-08-26,,PAYMENT
L000412,M006,638.72,INR,2026-08-23,,PAYMENT
L000411,M006,638.72,INR,2026-08-24,,PAYMENT
L000413,M006,638.72,INR,2026-08-25,,PAYMENT
L000415,M016,1296.29,INR,2026-08-20,,PAYMENT
L000414,M016,1296.29,INR,2026-08-21,,PAYMENT
L000416,M016,1296.29,INR,2026-08-22,,PAYMENT
L000418,M013,5256.33,INR,2026-08-20,,PAYMENT
L000417,M013,5256.33,INR,2026-08-21,,PAYMENT
L000419,M013,5256.33,INR,2026-08-22,,PAYMENT
L000421,M019,6700.21,INR,2026-08-29,,PAYMENT
L000420,M019,6700.21,INR,2026-08-30,,PAYMENT
L000422,M019,6700.21,INR,2026-08-31,,PAYMENT
L000424,M002,1690.97,INR,2026-08-21,,PAYMENT
L000423,M002,1690.97,INR,2026-08-22,,PAYMENT
L000425,M002,1690.97,INR,2026-08-23,,PAYMENT
L000427,M019,3285.94,INR,2026-08-20,,PAYMENT
L000426,M019,3285.94,INR,2026-08-21,,PAYMENT
L000428,M019,3285.94,INR,2026-08-22,,PAYMENT
L000430,M008,1342.05,INR,2026-08-27,,PAYMENT
L000429,M008,1342.05,INR,2026-08-28,,PAYMENT
L000431,M008,1342.05,INR,2026-08-29,,PAYMENT
L000433,M014,6457.7,INR,2026-08-28,,PAYMENT
L000432,M014,6457.7,INR,2026-08-29,,PAYMENT
L000434,M014,6457.7,INR,2026-08-30,,PAYMENT
L000436,M020,2466.5,INR,2026-08-27,,PAYMENT
L000435,M020,2466.5,INR,2026-08-28,,PAYMENT
L000437,M020,2466.5,INR,2026-08-29,,PAYMENT
L000439,M013,4823.98,INR,2026-08-26,,PAYMENT
L000438,M013,4823.98,INR,2026-08-27,,PAYMENT
L000440,M013,4823.98,INR,2026-08-28,,PAYMENT
L000442,M010,9119.5,INR,2026-08-28,,PAYMENT
L000441,M010,9119.5,INR,2026-08-29,,PAYMENT
L000443,M010,9119.5,INR,2026-08-30,,PAYMENT
L000445,M014,3302.14,INR,2026-08-28,,PAYMENT
L000444,M014,3302.14,INR,2026-08-29,,PAYMENT
L000446,M014,3302.14,INR,2026-08-30,,PAYMENT
L000448,M020,731.56,INR,2026-08-28,,PAYMENT
L000447,M020,731.56,INR,2026-08-29,,PAYMENT
L000449,M020,731.56,INR,2026-08-30,,PAYMENT
L000451,M004,8097.87,INR,2026-08-22,,PAYMENT
L000450,M004,8097.87,INR,2026-08-23,,PAYMENT
L000452,M004,8097.87,INR,2026-08-24,,PAYMENT
L000454,M007,2875.01,INR,2026-08-29,,PAYMENT
L000453,M007,2875.01,INR,2026-08-30,,PAYMENT
L000455,M007,2875.01,INR,2026-08-31,,PAYMENT
L000456,M006,2615.16,INR,2026-08-22,UTR-S000321,PAYMENT
L000457,M003,1741.36,INR,2026-08-20,UTR-S000322,PAYMENT
L000458,M015,7328.58,INR,2026-08-29,UTR-S000323,PAYMENT
L000459,M010,442.25,INR,2026-08-23,UTR-S000324,PAYMENT
L000460,M015,846.37,INR,2026-08-30,UTR-S000325,PAYMENT
L000461,M009,8360.97,INR,2026-08-30,UTR-S000326,PAYMENT
L000462,M007,4557.9,INR,2026-08-21,UTR-S000327,PAYMENT
L000463,M008,6890.94,INR,2026-08-22,UTR-S000328,PAYMENT
L000464,M005,848.78,INR,2026-08-20,UTR-S000329,PAYMENT
L000465,M010,6339.48,INR,2026-08-29,UTR-S000330,PAYMENT
L000466,M015,1403.94,INR,2026-08-27,UTR-S000331,PAYMENT
L000467,M013,9984.67,INR,2026-08-24,UTR-S000332,PAYMENT
L000468,M018,5277.81,INR,2026-08-27,UTR-S000333,PAYMENT
L000469,M020,517.97,INR,2026-08-26,UTR-S000334,PAYMENT
L000470,M020,2725.29,INR,2026-08-20,UTR-S000335,PAYMENT
L000471,M008,7170.53,INR,2026-08-29,UTR-S000336,PAYMENT
L000472,M001,8119.09,INR,2026-08-30,UTR-S000337,PAYMENT
L000473,M019,521.85,INR,2026-08-22,UTR-S000338,PAYMENT
L000474,M017,6931.57,INR,2026-08-27,UTR-S000339,PAYMENT
L000475,M006,6237.62,INR,2026-08-26,UTR-S000340,PAYMENT
L000476,M003,5028.41,INR,2026-08-25,UTR-S000341,PAYMENT
L000477,M011,3466.53,INR,2026-08-30,UTR-S000342,PAYMENT
L000478,M006,3558.24,INR,2026-08-26,UTR-S000343,PAYMENT
L000479,M010,7047.69,INR,2026-08-26,UTR-S000344,PAYMENT
L000480,M002,4869.19,INR,2026-08-21,UTR-S000345,PAYMENT
L000481,M009,3489.77,INR,2026-08-21,UTR-S000346,PAYMENT
L000482,M017,8749.98,INR,2026-08-20,UTR-S000347,PAYMENT
L000483,M015,4433.21,INR,2026-08-20,UTR-S000348,PAYMENT
L000484,M017,3893.53,INR,2026-08-29,UTR-S000349,PAYMENT
L000485,M015,8069.07,INR,2026-08-20,UTR-S000350,PAYMENT
L000486,M005,5293.89,INR,2026-08-20,UTRS000381,PAYMENT
L000487,M005,5366.9,INR,2026-08-29,UTRS000382,PAYMENT
L000488,M011,9219.46,INR,2026-08-21,UTRS000383,PAYMENT
L000489,M015,1145.55,INR,2026-08-28,UTRS000384,PAYMENT
L000490,M015,260.93,INR,2026-08-22,UTRS000385,PAYMENT
L000491,M014,9232.39,INR,2026-08-30,UTRS000386,PAYMENT
L000492,M005,884.63,INR,2026-08-27,UTRS000387,PAYMENT
L000493,M009,3650.07,INR,2026-08-29,UTRS000388,PAYMENT
L000494,M013,6914.03,INR,2026-08-21,UTRS000389,PAYMENT
L000495,M011,9037.44,INR,2026-08-30,UTRS000390,PAYMENT
L000496,M018,4084.68,INR,2026-08-25,UTRS000391,PAYMENT
L000497,M016,9247.59,INR,2026-08-28,UTRS000392,PAYMENT
L000498,M002,6574.53,INR,2026-08-21,UTRS000393,PAYMENT
L000499,M008,6718.2,INR,2026-08-30,UTRS000394,PAYMENT
L000500,M010,2485.36,INR,2026-08-21,UTRS000395,PAYMENT
L000501,M014,1132.25,INR,2026-08-30,UTRS000396,PAYMENT
L000502,M004,4752.3,INR,2026-08-22,UTRS000397,PAYMENT
L000503,M010,9573.08,INR,2026-08-20,UTRS000398,PAYMENT
L000504,M002,3501.31,INR,2026-08-20,UTRS000399,PAYMENT
L000505,M010,3858.76,INR,2026-08-25,UTRS000400,PAYMENT
